Date,Team1,Team1_score,Team2,Team2_score,team1_fouls,team2_fouls,team1_yellow_cards,team2_yellow_cards,team1_red_cards,team2_red_cards,team1_offsides,team2_offsides,team1_won_corners,team2_won_corners,team1_saves,team2_saves,team1_possession,team2_possession,team1_shots,team2_shots,team1_avg_wins,team1_avg_draws,team1_avg_gd,team2_avg_wins,team2_avg_draws,team2_avg_gd,team1_lineup,team2_lineup,year
19980610,Brazil,2,Scotland,1,0,0,2,1,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,"-- Taffarel_6 Roberto Carlos_2 Cafu_-- Santos Aldair  _-- Junior Baiano_-- Dunga_-- Carlos Cesar Sampaio  
 _-- Rivaldo_9 Ronaldo_-- José Oliveira Bebeto_-- Silva Giovanni",-- James Leighton_-- Colin Calderwood_-- Christian Dailly_-- Colin Hendry_-- Tommy Boyd   OG_-- John Collins  _-- Craig Burley_-- Gordon Durie_-- Darren Jackson  _-- Paul Lambert_-- Kevin Gallacher,1998
19980610,Morocco,2,Norway,2,0,0,1,0,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,-- Driss Benzekri_-- Abdelkrim El Hadrioui_-- Nourredine Naybet_-- Youssef Rossi_-- Abdelilah Saber_-- Youssef Chippo   OG_-- Abdeljalil Hadda  _-- Mustapha Hadji  _-- Tahar El Khalej_-- Chiba Said  _-- Salaheddine Bassir,-- Frode Grodas_-- Dan Eggen  _-- Henning Berg_-- Stig Bjornebye_-- Ronny Johnsen_-- Kjetil Rekdal_-- Erik Mykland_-- Oyvind Leonhardsen_-- Havard Flo_-- Tore Flo_-- Ole Solskjaer,1998
19980611,Cameroon,1,Austria,1,0,0,1,1,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,-- Jacques Songo`o_-- Pierre Njanka  _-- Raymond Kalla N`Kono_-- Rigobert Song Bahanag_-- Didier Angibeaud_-- Augustine Simo_-- Francois Omam Biyick_-- Patrick Mboma_-- Samuel Ipoua  _-- Joseph Ndo_-- Pierre Wome,-- Michael Konsel_-- Andreas Herzog_-- Anton Pfeffer  _-- Wolfgang Feiersinger_-- Dietmar Kuhbauer_-- Arnold Wetl_-- Anton Polster  _-- Peter Schoettel_-- Harald Cerny_-- Román Mahlich_-- Heimo Pfeifenberger,1998
19980611,Italy,2,Chile,2,0,0,2,3,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,-- Gianluca Pagliuca_-- Alessandro Nesta_-- Alessandro Costacurta_-- Fabio Cannavaro  _-- Paolo Maldini_-- Angelo Di Livio  _-- Roberto Baggio  _-- Dino Baggio_-- Christian Vieri  _-- Demetrio Albertini_-- Roberto Di Matteo,"-- Nelson Antonio Tapia_-- Pedro Reyes_-- Javier Margas_-- Francisco Rojas  _-- Clarence Williams Acuña  _-- Ronald Fuentes_-- Marcelo Salas  
 _-- Fabián Raphael Estay_-- Nelson Parraguez  _-- Moises Villarroel_-- Iván Zamorano",1998
19980612,France,3,South Africa,0,0,0,3,1,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,-- Fabien Barthez_-- Bixente Lizarazu_-- Laurent Blanc_-- Lilian Thuram_-- Marcel Desailly_-- Zinedine Zidane  _-- Emmanuel Petit  _-- Didier Deschamps_-- Stephane Guivarc`h  _-- Thierry Henry  _-- Youri Djorkaeff,-- Hans Vonk_-- Pierre Issa   OG_-- Mark Fish_-- David Nyathi_-- Lucas Redebe_-- Brendan Augustine_-- Quinton Fortune_-- Willem Jackson  _-- John Moshoeu_-- Benedict McCarthy_-- Philemon Masinga,1998
19980612,Paraguay,0,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,-- José Chilavert_-- Carlos Alberto Gamarra_-- Pedro Sarabia_-- Celso Rafael Ayala_-- Carlos Paredes_10 Roberto Acuña_-- Julio Cesar Enciso_-- Jorge Campos_-- Carlos Morales_-- José Saturnino Cardozo_-- Miguel Benítez,-- Zdravko Zdravkov_-- Trifon Ivanov_-- Ivaylo Petkov_-- Krassimir Balakov_-- Gueorgui Batchev_-- Ilian Iliev_-- Radostin Kischischev_-- Hristo Stoitchkov_-- Ivaylo Iordanov_-- Lubo Penev_-- Zlatko Yankov,1998
19980612,Saudi Arabia,0,Denmark,1,0,0,1,3,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,-- Mohammed Al Deayea_-- Mohammed Al Khilaiwi_-- Hussain Sulimani_-- Abdullah Zubromawi_-- Mohammed Al Jahani_-- Fuad Amin_-- Saeed Owairan_-- Sami Al Jaber_-- Khalid Al Mowalad  _-- Khamis Al Owairan_-- Ibrahim Al Shahrani,"-- Mogens Krogh_-- Marc Rieper  
 _-- Jan Heintze_-- Peter Kjor_-- Allan Nielsen  _-- René Henriksen_-- Morten Wieghorst  _-- Peter Moller_-- Per Frandsen_-- Bjarne Goldbak_-- Miklos Molnar",1998
19980613,Netherlands,0,Belgium,0,0,0,0,2,1,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,-- Edwin van der Sar_-- Aron Winter_-- Frank De Boer_-- Arthur Numan_-- Jaap Stam_-- Philip Cocu_-- Clarence Seedorf_-- Marc Overmars_-- Ronald De Boer_-- Patrick Kluivert  _-- Jimmy Hasselbaink,-- Filip De Wilde_-- Franky Van Der Elst_-- Vital Borkelmans_-- Betrand Crasson_-- Mike Verstraeten_-- Marc Wilmots_-- Lorenzo Staelens  _-- Danny Boffin_-- Philippe Clement_-- Luc Nilis_-- Luis Oliveira,1998
19980613,South Korea,1,Mexico,3,0,0,1,2,1,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,"-- Kim Byung-Ji_-- Hong Myung-Bo_-- Lim Lee_-- Lee Min-Sung  _-- Kim Tae-Young_-- Jung Seo_-- Yoo Sang-Chul_-- Jung-Yoon Noh_-- Do Kim_-- Jong Ko_-- Seok Ha  
 ","-- Jorge Campos_-- Duilio Davino_-- Claudio Suárez_-- Jesús Ramírez_-- Braulio Luna_-- Cuauhtemoc Blanco_-- Alberto García Aspe  _-- Raúl Lara_-- Jaime Ordiales  _-- Pavel Pardo_-- Luis Hernández  
 ",1998
19980613,Spain,2,Nigeria,3,0,0,3,1,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,-- Andoni Zubizarreta_-- Fernando Hierro  _-- Albert Ferrer_6 Miguel Ángel Nadal Homar  _-- Barjuan Sergi_-- Ivan Campo  _-- Luis Enrique_-- Rafael Alkorta_-- Raúl  _-- Kiko_-- Pérez Alfonso,-- Peter Rufai_-- Garba Lawal  _-- Celestine Babayaro_-- Uche Okechukwu  _-- Mobi Oparaku_-- Taribo West_-- Mutiu Adepoju  _-- Sunday Oliseh  _-- Augustine Okocha_-- George Finidi_-- Víctor Ikpeba,1998
19980614,Argentina,1,Japan,0,0,0,0,3,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,-- Carlos Angel Roa_4 Javier Zanetti_2 Roberto Ayala_-- Roberto Sensini_-- Nelson David Vivas_10 Ariel Ortega_14 Diego Pablo Simeone_-- Juan Sebastián Verón_-- Matias Jesús Almeyda_-- Gabriel Batistuta  _-- Claudio Javier López,-- Seigo Narazaki_-- Masami Ihara  _-- Yoshikatsu Kawaguchi_-- Eisuke Nakanishi  _-- Naoki Soma_-- Yukata Akita_-- Hidetoshi Nakata_-- Hiroshi Nanami_-- Motohiro Yamaguchi_-- Hidetoshi Nakayama_-- Shoji Jo,1998
19980614,Jamaica,1,Croatia,3,0,0,1,2,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,-- Warren Barrett_-- Ricardo Gardener_-- Ian Goodison_-- Frank Sinclair_-- Robert Earle  _-- Theodore Whitmore_-- Peter Cargill_-- Fitzroy Simpson_-- Deon Burton  _-- Paul Hall_-- Onandi Lowe,-- Drazen Ladic_-- Robert Jarni_-- Aljosa Asanovic_-- Slaven Bilic_-- Dario Simic  _-- Igor Stimac_-- Robert Prosinecki  _-- Mario Stanic  _-- Zvonimir Boban_-- Davor Suker  _-- Zvonimir Soldo  ,1998
19980614,Yugoslavia,1,Iran,0,0,0,2,0,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,-- Ivica Kralj_-- Sinisa Mihajlovic  _-- Predrag Mijatovic_-- Branko Brnovic_-- Goran Djorovic_-- Zoran Mirkovic_-- Dragan Stojkovic  _-- Slavisa Jokanovic_-- Vladimir Jugovic_-- Zeljko Petrovic  _-- Savo Milosevic,-- Nima Nakisa_-- Mehdi Mahdavikia_-- Mohammad Khakpour_-- Mehdi Peshazadeh_-- Javad Zarinchech_-- Hamid Estilli_-- Karim Bagheri_-- Ali Daei_-- Nader Mohammadkhani_-- Khodadad Aziz_-- Mehrdad Minavand,1998
19980615,England,2,Tunisia,0,0,0,1,3,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,-- David Seaman_-- Tony Adams_-- Sol Campbell  _-- Graeme Le Saux_-- Gareth Southgate_-- Paul Scholes  _-- Darren Anderton_-- David Batty_-- Paul Ince_-- Alan Shearer  _-- Teddy Sheringham,-- Chokri El Ouaer_-- Khaled Badra_-- Mounir Boukadida_-- Hatem Trabelsi_-- Sami Trabelsi_-- Skander Souayah_-- Sirajeddine Chihi_-- José Clayton  _-- Kaies Ghodhbane  _-- Mehdi Ben Slimane_-- Adel Sellimi,1998
19980615,Germany,2,United States,0,0,0,3,2,1,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,"-- Andreas Köpke_-- Juergen Kohler_-- Stefan Reuter_-- Christian Woms_-- Andreas Moeller  _-- Thomas Hässler_-- Jorg Heinrich  _-- Jens Jeremies  
 _-- Olaf Thon_-- Jürgen Klinsmann  _-- Jürgen Klinsmann  _-- Oliver Bierhoff",-- Kasey Keller_-- Thomas Dooley_-- Mike Burns_-- Eddie Pope  _-- Davis Regis_-- Eric Wynalda_-- Chad Deering_-- Brian Maisonneuve_-- Claudio Reyna_-- Ernie Stewart_-- Cobi Jones,1998
19980615,Romania,1,Colombia,0,0,0,3,1,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,-- Bogdan Stelea_-- Dan Petrescu  _-- Gheorghe Popescu_-- Liviu Ciobotariu_-- Lulian Filipescu  _-- Gheorghe Hagi_-- Dinu Moldovan_-- Dorinel Munteanu  _-- Constantin Galca_-- Gabriel Popescu_-- Adrian Ilie  ,-- Faryd Mondragón_-- Jorge Hernán Bermúdez_-- Wilmer Cabrera_-- Ever Palacios_-- José Santa  _-- Mauricio Serna_-- Carlos Valderrama_-- Freddy Rincón_-- Harold Lozano_-- Víctor Aristizabal_-- Faustino Asprilla,1998
19980616,Brazil,3,Morocco,0,0,0,2,2,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,-- Taffarel_6 Roberto Carlos_2 Cafu_-- Leonardo Leonardo Da Araújo_-- Santos Aldair_-- Junior Baiano  _-- Dunga_-- Carlos Cesar Sampaio  _-- Rivaldo  _9 Ronaldo  _-- José Oliveira Bebeto  _  -- Bebeto,-- Driss Benzekri_-- Abdelkrim El Hadrioui_-- Nourredine Naybet_-- Smahi Triki_-- Youssef Rossi_-- Abdelilah Saber_-- Youssef Chippo_-- Abdeljalil Hadda  _-- Mustapha Hadji_-- Tahar El Khalej_-- Chiba Said  ,1998
19980616,Scotland,1,Norway,1,0,0,2,2,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,1.4,0.8,0.2,2.0,-- James Leighton_-- Colin Calderwood_-- Christian Dailly_-- Colin Hendry_-- Tommy Boyd_-- John Collins_-- Craig Burley  _-- Gordon Durie  _-- Darren Jackson  _-- Paul Lambert_-- Kevin Gallacher,-- Frode Grodas_-- Dan Eggen_-- Henning Berg  _-- Stig Bjornebye_-- Ronny Johnsen_-- Kjetil Rekdal  _-- Havard Flo_-- Stale Solbakken_-- Roar Strand_-- Tore Flo  _-- Vidar Riseth,1998
