Date,Team1,Team1_score,Team2,Team2_score,team1_fouls,team2_fouls,team1_yellow_cards,team2_yellow_cards,team1_red_cards,team2_red_cards,team1_offsides,team2_offsides,team1_won_corners,team2_won_corners,team1_saves,team2_saves,team1_possession,team2_possession,team1_shots,team2_shots,team1_avg_wins,team1_avg_draws,team1_avg_gd,team2_avg_wins,team2_avg_draws,team2_avg_gd,team1_lineup,team2_lineup,year,avg_age_t1,avg_gpa_t1,avg_apa_t1,avg_ycpa_t1,total_minutes_t1,avg_age_t2,avg_gpa_t2,avg_apa_t2,avg_ycpa_t2,total_minutes_t2
19980610,Brazil,2,Scotland,1,0,0,2,1,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.4,0.6,0.3333333333333333,0.0,-0.3333333333333333,"-- Taffarel_6 Roberto Carlos_2 Cafu_-- Santos Aldair  _-- Junior Baiano_-- Dunga_-- Carlos Cesar Sampaio  
 _-- Rivaldo_9 Ronaldo_-- José Oliveira Bebeto_-- Silva Giovanni",-- James Leighton_-- Colin Calderwood_-- Christian Dailly_-- Colin Hendry_-- Tommy Boyd   OG_-- John Collins  _-- Craig Burley_-- Gordon Durie_-- Darren Jackson  _-- Paul Lambert_-- Kevin Gallacher,1998,25.5,0.43814714415759715,0.021258503401360544,0.1811117987076175,14786.0,28.5,0.05748852833302517,0.006644518272425249,0.1098274241506478,17686.0
19980610,Morocco,2,Norway,2,0,0,1,0,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.0,0.0,-1.0,0.3333333333333333,0.3333333333333333,0.0,-- Driss Benzekri_-- Abdelkrim El Hadrioui_-- Nourredine Naybet_-- Youssef Rossi_-- Abdelilah Saber_-- Youssef Chippo   OG_-- Abdeljalil Hadda  _-- Mustapha Hadji  _-- Tahar El Khalej_-- Chiba Said  _-- Salaheddine Bassir,-- Frode Grodas_-- Dan Eggen  _-- Henning Berg_-- Stig Bjornebye_-- Ronny Johnsen_-- Kjetil Rekdal_-- Erik Mykland_-- Oyvind Leonhardsen_-- Havard Flo_-- Tore Flo_-- Ole Solskjaer,1998,25.166666666666668,0.125,0.0,0.0,731.0,26.8,0.041666666666666664,0.011764705882352941,0.13525306674393894,10934.0
19980611,Cameroon,1,Austria,1,0,0,1,1,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.2,0.2,-1.6,0.3333333333333333,0.0,-0.3333333333333333,-- Jacques Songo`o_-- Pierre Njanka  _-- Raymond Kalla N`Kono_-- Rigobert Song Bahanag_-- Didier Angibeaud_-- Augustine Simo_-- Francois Omam Biyick_-- Patrick Mboma_-- Samuel Ipoua  _-- Joseph Ndo_-- Pierre Wome,-- Michael Konsel_-- Andreas Herzog_-- Anton Pfeffer  _-- Wolfgang Feiersinger_-- Dietmar Kuhbauer_-- Arnold Wetl_-- Anton Polster  _-- Peter Schoettel_-- Harald Cerny_-- Román Mahlich_-- Heimo Pfeifenberger,1998,21.5,0.0,0.0,0.037037037037037035,3042.0,28.5,0.12893622789456124,0.08406844344344344,0.15833541875208543,14174.0
19980613,Netherlands,0,Belgium,0,0,0,0,2,1,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.0,0.4,0.4,0.0,-0.2,-- Edwin van der Sar_-- Aron Winter_-- Frank De Boer_-- Arthur Numan_-- Jaap Stam_-- Philip Cocu_-- Clarence Seedorf_-- Marc Overmars_-- Ronald De Boer_-- Patrick Kluivert  _-- Jimmy Hasselbaink,-- Filip De Wilde_-- Franky Van Der Elst_-- Vital Borkelmans_-- Betrand Crasson_-- Mike Verstraeten_-- Marc Wilmots_-- Lorenzo Staelens  _-- Danny Boffin_-- Philippe Clement_-- Luc Nilis_-- Luis Oliveira,1998,24.5,0.13321814637604112,0.05525176577808157,0.10195627958785852,17405.0,29.714285714285715,0.2744495647721454,0.0546594982078853,0.04787506400409627,7745.0
19980613,South Korea,1,Mexico,3,0,0,1,2,1,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.0,0.4,-0.8,0.25,0.5,0.0,"-- Kim Byung-Ji_-- Hong Myung-Bo_-- Lim Lee_-- Lee Min-Sung  _-- Kim Tae-Young_-- Jung Seo_-- Yoo Sang-Chul_-- Jung-Yoon Noh_-- Do Kim_-- Jong Ko_-- Seok Ha  
 ","-- Jorge Campos_-- Duilio Davino_-- Claudio Suárez_-- Jesús Ramírez_-- Braulio Luna_-- Cuauhtemoc Blanco_-- Alberto García Aspe  _-- Raúl Lara_-- Jaime Ordiales  _-- Pavel Pardo_-- Luis Hernández  
 ",1998,0.0,0.0,0.0,0.0,0.0,27.0,,,,0.0
19980613,Spain,2,Nigeria,3,0,0,3,1,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.4,0.4,0.8,0.5,0.0,0.75,-- Andoni Zubizarreta_-- Fernando Hierro  _-- Albert Ferrer_6 Miguel Ángel Nadal Homar  _-- Barjuan Sergi_-- Ivan Campo  _-- Luis Enrique_-- Rafael Alkorta_-- Raúl  _-- Kiko_-- Pérez Alfonso,-- Peter Rufai_-- Garba Lawal  _-- Celestine Babayaro_-- Uche Okechukwu  _-- Mobi Oparaku_-- Taribo West_-- Mutiu Adepoju  _-- Sunday Oliseh  _-- Augustine Okocha_-- George Finidi_-- Víctor Ikpeba,1998,26.2,0.2042052565707134,0.02060909470171047,0.25143153079280134,18886.0,23.0,0.09496097479968447,0.06317204301075269,0.103846127233224,10054.0
19980615,Germany,2,United States,0,0,0,3,2,1,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.2,0.4,0.2,0.2,-0.4,"-- Andreas Köpke_-- Juergen Kohler_-- Stefan Reuter_-- Christian Woms_-- Andreas Moeller  _-- Thomas Hässler_-- Jorg Heinrich  _-- Jens Jeremies  
 _-- Olaf Thon_-- Jürgen Klinsmann  _-- Jürgen Klinsmann  _-- Oliver Bierhoff",-- Kasey Keller_-- Thomas Dooley_-- Mike Burns_-- Eddie Pope  _-- Davis Regis_-- Eric Wynalda_-- Chad Deering_-- Brian Maisonneuve_-- Claudio Reyna_-- Ernie Stewart_-- Cobi Jones,1998,31.0,0.1861076883960179,0.1873007490856461,0.173932601850222,10511.0,26.625,0.15109126984126983,0.1284722222222222,0.1039186507936508,5975.0
19980615,Romania,1,Colombia,0,0,0,3,1,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.6,0.2,0.2,0.2,0.2,-0.4,-- Bogdan Stelea_-- Dan Petrescu  _-- Gheorghe Popescu_-- Liviu Ciobotariu_-- Lulian Filipescu  _-- Gheorghe Hagi_-- Dinu Moldovan_-- Dorinel Munteanu  _-- Constantin Galca_-- Gabriel Popescu_-- Adrian Ilie  ,-- Faryd Mondragón_-- Jorge Hernán Bermúdez_-- Wilmer Cabrera_-- Ever Palacios_-- José Santa  _-- Mauricio Serna_-- Carlos Valderrama_-- Freddy Rincón_-- Harold Lozano_-- Víctor Aristizabal_-- Faustino Asprilla,1998,27.571428571428573,0.22112012987012988,0.2,0.09732142857142857,10002.0,29.8,0.4,0.6,0.0,450.0
19980616,Brazil,3,Morocco,0,0,0,2,2,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.8,0.2,0.8,0.0,0.25,-0.75,-- Taffarel_6 Roberto Carlos_2 Cafu_-- Leonardo Leonardo Da Araújo_-- Santos Aldair_-- Junior Baiano  _-- Dunga_-- Carlos Cesar Sampaio  _-- Rivaldo  _9 Ronaldo  _-- José Oliveira Bebeto  _  -- Bebeto,-- Driss Benzekri_-- Abdelkrim El Hadrioui_-- Nourredine Naybet_-- Smahi Triki_-- Youssef Rossi_-- Abdelilah Saber_-- Youssef Chippo_-- Abdeljalil Hadda  _-- Mustapha Hadji_-- Tahar El Khalej_-- Chiba Said  ,1998,25.5,0.43814714415759715,0.021258503401360544,0.1811117987076175,14786.0,25.0,0.125,0.0,0.0,731.0
19980616,Scotland,1,Norway,1,0,0,2,2,0,0,0,0,0,0,0,0,0%,0%,0 (0),0 (0),0.25,0.0,-0.5,0.25,0.5,0.0,-- James Leighton_-- Colin Calderwood_-- Christian Dailly_-- Colin Hendry_-- Tommy Boyd_-- John Collins_-- Craig Burley  _-- Gordon Durie  _-- Darren Jackson  _-- Paul Lambert_-- Kevin Gallacher,-- Frode Grodas_-- Dan Eggen_-- Henning Berg  _-- Stig Bjornebye_-- Ronny Johnsen_-- Kjetil Rekdal  _-- Havard Flo_-- Stale Solbakken_-- Roar Strand_-- Tore Flo  _-- Vidar Riseth,1998,28.5,0.05748852833302517,0.006644518272425249,0.1098274241506478,17686.0,27.5,0.08691077441077442,0.00980392156862745,0.10642194588273018,13454.0
