Date,Team1,Team1_score,Team2,Team2_score,team1_fouls,team2_fouls,team1_yellow_cards,team2_yellow_cards,team1_red_cards,team2_red_cards,team1_offsides,team2_offsides,team1_won_corners,team2_won_corners,team1_saves,team2_saves,team1_possession,team2_possession,team1_shots,team2_shots,team1_avg_wins,team1_avg_draws,team1_avg_gd,team2_avg_wins,team2_avg_draws,team2_avg_gd,team1_lineup,team2_lineup,avg_age_t1,avg_gpa_t1,avg_apa_t1,avg_ycpa_t1,total_minutes_t1,avg_age_t2,avg_gpa_t2,avg_apa_t2,avg_ycpa_t2,total_minutes_t2
20180614,Russia,5,Saudi Arabia,0,22,10,1,1,0,0,3,1,6,2,0,2,41%,59%,13 (7),6 (0),0.0,0.4,-1.2,0.4,0.0,-0.2,"1 Igor Akinfeev_4 Sergey Ignashevich_3 Ilya Kutepov_18 Yury Zhirkov_2 Mário Fernandes_9 Alan Dzagoev_11 Roman Zobnin_8 Iury Gazinsky  _10 Fedor Smolov_17 Aleksandr Golovin  
 _19 Aleksandr Samedov",1 Abdullah Al-Mayouf_5 Omar Hawsawi_3 Osama Hawsawi_14 Abdullah Otayf_13 Yaseer Al-Shahrani_6 Mohammed Al-Burayk_7 Salman Al-Faraj_17 Taisir Al-Jassim  _18 Salem Al-Dawsari_8 Yahia Al-Shehri_10 Mohammed Al-Sahlawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180615,Egypt,0,Uruguay,1,12,6,2,0,0,0,1,1,0,5,3,3,43%,58%,8 (3),14 (4),0.0,0.4,-1.0,0.6,0.2,1.0,23 Mohamed El-Shenawy_6 Ahmed Hegazi  _2 Ali Gabr_13 Mohamed Abdel-Shafy_7 Ahmed Fathi_19 Abdalla Said_8 Tarek Hamed_17 Mohamed Elneny_9 Marwan Mohsen_21 Trezeguet_22 Amr Warda,1 Fernando Muslera_3 Diego Godín_2 José Giménez  _22 Martín Cáceres_4 Gullermo Varela_6 Rodrigo Bentancur_15 Matías Vecino_10 Giorgian de Arrascaeta_8 Nahitan Nández_21 Edinson Cavani_9 Luis Suárez,28.0,0.06388510559591067,0.04649667070217917,0.11493450052772086,21868.0,27.0,0.15537347914925234,0.08390220117024241,0.11177092040494102,16932.0
20180615,Morocco,0,Iran,1,22,14,1,3,0,0,0,0,5,2,2,2,63%,37%,13 (3),8 (2),0.8,0.2,1.2,0.6,0.0,0.2,12 Munir_6 Romain Saïss_5 Medhi Benatia_2 Achraf Hakimi_16 Nordin Amrabat_10 Younès Belhanda_14 Mbark Boussoufa_8 Karim El Ahmadi  _9 Ayoub El Kaabi_18 Amine Harit_7 Hakim Ziyech,1 Alireza Beiranvand_4 Roozbeh Cheshmi_8 Morteza Pouraliganji_9 Omid Ebrahimi_3 Ehsan Hajsafi_23 Ramin Rezaeian_11 Vahid Amiri_7 Masoud Shojaei  _10 Karim Ansarifard  _18 Alireza Jahanbakhsh  _20 Sardar Azmoun,27.166666666666668,0.10138028272174615,0.07891183866793622,0.0696774823604092,11938.0,29.0,0.13392857142857142,0.06524725274725275,0.1291208791208791,4549.0
20180615,Portugal,3,Spain,3,12,10,1,1,0,0,1,3,4,5,2,0,38%,62%,8 (3),12 (5),0.4,0.4,0.2,0.4,0.6,1.2,"1 Rui Patrício_6 José Fonte_3 Pepe_5 Raphaël Guerreiro_21 Cédric Soares_14 William Carvalho_8 João Moutinho_16 Bruno Fernandes  _11 Bernardo Silva_7 Cristiano Ronaldo  
  _17 Gonçalo Guedes","1 David De Gea_15 Sergio Ramos_3 Gerard Piqué_18 Jordi Alba_4 Nacho  _5 Sergio Busquets  _6 Andrés Iniesta_8 Koke_19 Diego Costa  
 _22 Isco_21 David Silva",27.333333333333332,0.07408289463447798,0.12908838170865664,0.08736608898361105,30089.0,0.0,0.0,0.0,0.0,0.0
20180616,France,2,Australia,1,16,19,1,3,0,0,0,0,5,1,1,4,51%,49%,13 (5),4 (1),0.6,0.2,1.0,0.6,0.2,0.8,1 Hugo Lloris_5 Samuel Umtiti_4 Raphaël Varane_21 Lucas Hernández_2 Benjamin Pavard_13 N'Golo Kanté_6 Paul Pogba_12 Corentin Tolisso  _7 Antoine Griezmann  _11 Ousmane Dembélé_10 Kylian Mbappé,"1 Mathew Ryan_5 Mark Milligan_20 Trent Sainsbury_16 Aziz Behich   OG
 _19 Joshua Risdon  _13 Aaron Mooy_15 Mile Jedinak  _10 Robbie Kruse_7 Mathew Leckie  _11 Andrew Nabbout_23 Tom Rogic",24.25,0.10721570096570096,0.0798076923076923,0.061149267399267404,17209.0,0.0,0.0,0.0,0.0,0.0
20180616,Argentina,1,Iceland,1,10,15,0,0,0,0,0,0,10,2,1,6,73%,27%,26 (7),9 (3),0.6,0.0,0.0,0.2,0.2,-0.6,23 Wilfredo Caballero_16 Marcos Rojo_17 Nicolás Otamendi_3 Nicolás Tagliafico_18 Eduardo Salvio_10 Lionel Messi_5 Lucas Biglia_14 Javier Mascherano_19 Sergio Agüero  _11 Ángel Di María_13 Maximiliano Meza,1 Hannes Halldórsson_6 Ragnar Sigurdsson_14 Kári Árnason_18 Hördur Magnússon_2 Birkir Saevarsson_20 Emil Hallfredsson_17 Aron Gunnarsson_8 Birkir Bjarnason_7 Johann Gudmundsson_11 Alfred Finnbogason  _10 Gylfi Sigurdsson,29.5,0.09688962359250963,0.07354884036630198,0.14911626381553578,38975.0,0.0,0.0,0.0,0.0,0.0
20180616,Peru,0,Denmark,1,10,18,1,2,0,0,5,3,3,7,2,6,52%,48%,17 (6),10 (3),0.8,0.2,1.8,0.4,0.4,0.4,1 Pedro Gallese_2 Alberto Rodríguez_15 Christian Ramos_6 Miguel Trauco_17 Luis Advíncula_8 Christian Cueva_19 Yoshimar Yotún_13 Renato Tapia  _10 Jefferson Farfán_20 Edison Flores_18 André Carrillo,"1 Kasper Schmeichel_6 Andreas Christensen_4 Simon Kjaer_17 Jens Stryger Larsen_14 Henrik Dalsgaard_10 Christian Eriksen_8 Thomas Delaney  _7 William Kvist_9 Nicolai Jørgensen_23 Pione Sisto_20 Yussuf Yurary Poulsen  
 ",29.0,0.07566959218059588,0.07374005637431168,0.1312981967771396,31795.0,25.333333333333332,0.10169220945083013,0.1129891899288451,0.0577175697865353,12722.0
20180616,Croatia,2,Nigeria,0,20,16,2,1,0,0,2,1,6,5,2,1,53%,47%,11 (2),14 (2),0.4,0.2,-0.4,0.2,0.2,-0.6,23 Danijel Subasic_21 Domagoj Vida_6 Dejan Lovren_3 Ivan Strinic_2 Sime Vrsaljko_9 Andrej Kramaric_10 Luka Modric  _7 Ivan Rakitic  _17 Mario Mandzukic_18 Ante Rebic_4 Ivan Perisic,23 Francis Uzoho_6 Leon Balogun_5 William Troost-Ekong  _2 Bryan Idowu_12 Abdullahi Shehu_10 John Obi Mikel_8 Oghenekaro Etebo   OG_4 Wilfred Ndidi_9 Odion Ighalo_11 Victor Moses_18 Alex Iwobi,28.25,0.12267380145257767,0.07979063113334213,0.11884564154024657,28973.0,24.5,0.12297273982056592,0.04861111111111111,0.060472739820565904,6410.0
20180617,Costa Rica,0,Serbia,1,18,15,2,2,0,0,1,3,5,4,2,3,50%,50%,10 (3),10 (3),0.4,0.0,-0.4,0.4,0.2,0.8,1 Keylor Navas_3 Giancarlo González_6 Óscar Duarte_2 Johnny Acosta_20 David Guzmán  _5 Celso Borges_15 Francisco Calvo  _16 Cristian Gamboa_21 Marco Ureña_11 Johan Venegas_10 Bryan Ruiz,1 Vladimir Stojkovic_3 Dusko Tosic_15 Nikola Milenkovic_11 Aleksandar Kolarov  _6 Branislav Ivanovic  _20 Sergej Milinkovic-Savic_21 Nemanja Matic_4 Luka Milivojevic_9 Aleksandar Mitrovic_22 Adem Ljajic_10 Dusan Tadic,28.428571428571427,0.08337480634989125,0.03764629997328576,0.16221855996264953,32489.0,27.666666666666668,0.04055644176611919,0.05398745519713261,0.1561552247036118,16757.0
20180617,Germany,0,Mexico,1,10,15,2,2,0,0,1,2,8,1,3,9,61%,39%,25 (9),12 (4),0.2,0.4,-0.2,0.4,0.2,0.2,1 Manuel Neuer_5 Mats Hummels  _17 Jérôme Boateng_2 Marvin Plattenhardt_18 Joshua Kimmich_10 Mesut Özil_8 Toni Kroos_6 Sami Khedira_9 Timo Werner_7 Julian Draxler_13 Thomas Müller  ,13 Guillermo Ochoa_15 Héctor Moreno  _2 Hugo Ayala_23 Jesús Gallardo_3 Carlos Salcedo_11 Carlos Vela_18 Andrés Guardado_16 Héctor Herrera  _14 Javier Hernández_22 Hirving Lozano  _7 Miguel Layún,26.5,0.16274071818198693,0.18173833926907923,0.077045040921241,32052.0,0.0,0.0,0.0,0.0,0.0
