,name,link,age,value
0,Dragan Pantelic,https://www.transfermarkt.co.uk/dragan-pantelic/profil/spieler/132387,29, 
1,Ratko Svilar,https://www.transfermarkt.co.uk/ratko-svilar/profil/spieler/132412,31, 
2,Zlatko Krmpotic,https://www.transfermarkt.co.uk/zlatko-krmpotic/profil/spieler/132392,22, 
3,Nikola Jovanovic,https://www.transfermarkt.co.uk/nikola-jovanovic/profil/spieler/132399,28, 
4,Zoran Vujovic,https://www.transfermarkt.co.uk/zoran-vujovic/profil/spieler/132395,22, 
5,Ivan Gudelj,https://www.transfermarkt.co.uk/ivan-gudelj/profil/spieler/132389,20, 
6,Edhem Sljivo,https://www.transfermarkt.co.uk/edhem-sljivo/profil/spieler/97444,31, 
7,Jurica Jerkovic,https://www.transfermarkt.co.uk/jurica-jerkovic/profil/spieler/132405,31, 
8,Stjepan Deveric,https://www.transfermarkt.co.uk/stjepan-deveric/profil/spieler/132406,19, 
9,Ivica Šurjak,https://www.transfermarkt.co.uk/ivica-scaron-urjak/profil/spieler/132410,28, 
10,Zlatko Vujovic,https://www.transfermarkt.co.uk/zlatko-vujovic/profil/spieler/102706,22, 
11,Ivan Pudar,https://www.transfermarkt.co.uk/ivan-pudar/profil/spieler/132397,19, 
12,Ive Jerolimov,https://www.transfermarkt.co.uk/ive-jerolimov/profil/spieler/132388,22, 
13,Nenad Stojkovic,https://www.transfermarkt.co.uk/nenad-stojkovic/profil/spieler/132391,25, 
14,Milos Hrstic,https://www.transfermarkt.co.uk/milos-hrstic/profil/spieler/132402,25, 
15,Vladimir Petrovic,https://www.transfermarkt.co.uk/vladimir-petrovic/profil/spieler/132393,26, 
16,Velimir Zajec,https://www.transfermarkt.co.uk/velimir-zajec/profil/spieler/132390,25, 
17,Safet Susic,https://www.transfermarkt.co.uk/safet-susic/profil/spieler/102705,26, 
18,Milos Sestic,https://www.transfermarkt.co.uk/milos-sestic/profil/spieler/132403,24, 
19,Predrag Pasic,https://www.transfermarkt.co.uk/predrag-pasic/profil/spieler/97168,22, 
20,Zvonko Zivkovic,https://www.transfermarkt.co.uk/zvonko-zivkovic/profil/spieler/132396,21, 
21,Vahid Halilhodzic,https://www.transfermarkt.co.uk/vahid-halilhodzic/profil/spieler/132409,29, 
22,Oscar Wirth,https://www.transfermarkt.co.uk/oscar-wirth/profil/spieler/132547,25, 
23,Mario Osbén,https://www.transfermarkt.co.uk/mario-osben/profil/spieler/132888,25, 
24,Enzo Escobar,https://www.transfermarkt.co.uk/enzo-escobar/profil/spieler/132885,29, 
25,Lizardo Garrido,https://www.transfermarkt.co.uk/lizardo-garrido/profil/spieler/132552,23, 
26,Elías Figueroa,https://www.transfermarkt.co.uk/elias-figueroa/profil/spieler/132595,34, 
27,Mario Galindo,https://www.transfermarkt.co.uk/mario-galindo/profil/spieler/132884,29, 
