name,link,age,value
Avraam Papadopoulos,https://www.transfermarkt.co.uk/avraam-papadopoulos/profil/spieler/12979,24,£2.93m  
Loukas Vyntra,https://www.transfermarkt.co.uk/loukas-vyntra/profil/spieler/16458,28,£2.25m  
Vangelis Moras,https://www.transfermarkt.co.uk/vangelis-moras/profil/spieler/9850,27,£1.08m  
Alexandros Tziolis,https://www.transfermarkt.co.uk/alexandros-tziolis/profil/spieler/12883,24,£2.70m  
Theofanis Gekas,https://www.transfermarkt.co.uk/theofanis-gekas/profil/spieler/16402,29,£2.97m  
Georgios Karagounis,https://www.transfermarkt.co.uk/georgios-karagounis/profil/spieler/6106,32,£5.85m  
Denis Caniza,https://www.transfermarkt.co.uk/denis-caniza/profil/spieler/38786,34,£788k  
Cristian Riveros,https://www.transfermarkt.co.uk/cristian-riveros/profil/spieler/37713,26,£1.80m  
Édgar Barreto,https://www.transfermarkt.co.uk/edgar-barreto/profil/spieler/16120,24,£2.25m  
Jonathan Santana,https://www.transfermarkt.co.uk/jonathan-santana/profil/spieler/20000,27,£1.44m  
Edgar Benítez,https://www.transfermarkt.co.uk/edgar-benitez/profil/spieler/90147,21,£1.80m  
Óscar Cardozo,https://www.transfermarkt.co.uk/oscar-cardozo/profil/spieler/45865,26,£7.20m  
Lucas Barrios,https://www.transfermarkt.co.uk/lucas-barrios/profil/spieler/58516,24,£2.16m  
Antolín Alcaraz,https://www.transfermarkt.co.uk/antolin-alcaraz/profil/spieler/14259,26,£2.25m  
Darío Verón,https://www.transfermarkt.co.uk/dario-veron/profil/spieler/51078,29,£1.80m  
Aureliano Torres,https://www.transfermarkt.co.uk/aureliano-torres/profil/spieler/54495,27,£2.16m  
Carlos Bonet,https://www.transfermarkt.co.uk/carlos-bonet/profil/spieler/38783,31,£1.35m  
Enrique Vera,https://www.transfermarkt.co.uk/enrique-vera/profil/spieler/61898,30,£1.35m  
Néstor Ortigoza,https://www.transfermarkt.co.uk/nestor-ortigoza/profil/spieler/26726,24,£2.07m  
Roque Santa Cruz,https://www.transfermarkt.co.uk/roque-santa-cruz/profil/spieler/215,27,£9.00m  
Nelson Valdez,https://www.transfermarkt.co.uk/nelson-valdez/profil/spieler/2050,25,£4.05m  
John Terry,https://www.transfermarkt.co.uk/john-terry/profil/spieler/3160,28,£31.50m  
Frank Lampard,https://www.transfermarkt.co.uk/frank-lampard/profil/spieler/3163,31,£40.50m  
James Milner,https://www.transfermarkt.co.uk/james-milner/profil/spieler/3333,23,£11.70m  
Aaron Lennon,https://www.transfermarkt.co.uk/aaron-lennon/profil/spieler/14221,22,£13.50m  
Wayne Rooney,https://www.transfermarkt.co.uk/wayne-rooney/profil/spieler/3332,23,£37.80m  
Jamie Carragher,https://www.transfermarkt.co.uk/jamie-carragher/profil/spieler/3597,31,£17.10m  
Ledley King,https://www.transfermarkt.co.uk/ledley-king/profil/spieler/3360,28,£8.55m  
Matthew Upson,https://www.transfermarkt.co.uk/matthew-upson/profil/spieler/3273,30,£8.10m  
Ashley Cole,https://www.transfermarkt.co.uk/ashley-cole/profil/spieler/3182,28,£19.80m  
Glen Johnson,https://www.transfermarkt.co.uk/glen-johnson/profil/spieler/3881,24,£9.90m  
Gareth Barry,https://www.transfermarkt.co.uk/gareth-barry/profil/spieler/3291,28,£16.65m  
Steven Gerrard,https://www.transfermarkt.co.uk/steven-gerrard/profil/spieler/3109,29,£45.00m  
Jermain Defoe,https://www.transfermarkt.co.uk/jermain-defoe/profil/spieler/3875,26,£12.15m  
Ismael Fuentes,https://www.transfermarkt.co.uk/ismael-fuentes/profil/spieler/40426,27,£1.35m  
Gonzalo Jara,https://www.transfermarkt.co.uk/gonzalo-jara/profil/spieler/40429,23,£675k  
Arturo Vidal,https://www.transfermarkt.co.uk/arturo-vidal/profil/spieler/37666,22,£6.75m  
Carlos Carmona,https://www.transfermarkt.co.uk/carlos-carmona/profil/spieler/76387,22,£900k  
Jorge Valdivia,https://www.transfermarkt.co.uk/jorge-valdivia/profil/spieler/20758,25,£2.70m  
Mark González,https://www.transfermarkt.co.uk/mark-gonzalez/profil/spieler/21750,24,£4.50m  
Humberto Suazo,https://www.transfermarkt.co.uk/humberto-suazo/profil/spieler/39655,28,£5.40m  
Pablo Contreras,https://www.transfermarkt.co.uk/pablo-contreras/profil/spieler/14520,30,£3.60m  
Waldo Ponce,https://www.transfermarkt.co.uk/waldo-ponce/profil/spieler/8560,26,£1.08m  
Mauricio Isla,https://www.transfermarkt.co.uk/mauricio-isla/profil/spieler/43722,21,£3.60m  
Gary Medel,https://www.transfermarkt.co.uk/gary-medel/profil/spieler/60889,21,£1.26m  
Rodrigo Millar,https://www.transfermarkt.co.uk/rodrigo-millar/profil/spieler/53027,27,£450k  
Matías Fernández,https://www.transfermarkt.co.uk/matias-fernandez/profil/spieler/37918,23,£6.30m  
Joseph Yobo,https://www.transfermarkt.co.uk/joseph-yobo/profil/spieler/3270,28,£10.35m  
Rabiu Afolabi,https://www.transfermarkt.co.uk/rabiu-afolabi/profil/spieler/4829,29,£2.70m  
Danny Shittu,https://www.transfermarkt.co.uk/danny-shittu/profil/spieler/13736,28,£1.62m  
Taye Taiwo,https://www.transfermarkt.co.uk/taye-taiwo/profil/spieler/28922,24,£9.90m  
Chidi Odiah,https://www.transfermarkt.co.uk/chidi-odiah/profil/spieler/15906,25,£1.89m  
Dickson Etuhu,https://www.transfermarkt.co.uk/dickson-etuhu/profil/spieler/14011,27,£2.70m  
Chinedu Obasi,https://www.transfermarkt.co.uk/chinedu-obasi/profil/spieler/41663,23,£6.30m  
Kalu Uche,https://www.transfermarkt.co.uk/kalu-uche/profil/spieler/6585,26,£3.60m  
Ayila Yussuf,https://www.transfermarkt.co.uk/ayila-yussuf/profil/spieler/25780,24,£2.25m  
Sani Kaita,https://www.transfermarkt.co.uk/sani-kaita/profil/spieler/34183,23,£630k  
Lukman Haruna,https://www.transfermarkt.co.uk/lukman-haruna/profil/spieler/104331,18,£270k  
