appearances,goals,assists,yellow_cards,yellow_red_cards,red_cards,minutes,height,link
9,-,-,1,-,-,709,174,https://www.transfermarkt.co.uk/francisco-uria/profil/spieler/135086
1,-,-,1,-,-,74,176,https://www.transfermarkt.co.uk/isidoro-san-jose/profil/spieler/135105
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/eugenio-leal/profil/spieler/135097
6,-,-,-,-,-,315,183,https://www.transfermarkt.co.uk/antonio-olmo/profil/spieler/135099
3,1,-,-,-,-,266,N/A,https://www.transfermarkt.co.uk/julio-cardenosa/profil/spieler/135093
3,4,-,-,-,-,244,189,https://www.transfermarkt.co.uk/tibor-nyilasi/profil/spieler/127029
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/roland-andersson/profil/spieler/134939
1,-,-,-,-,-,90,N/A,https://www.transfermarkt.co.uk/bo-larsson/profil/spieler/97074
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/hasse-borg/profil/spieler/107466
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/ingemar-erlandsson/profil/spieler/134942
1,-,-,-,-,-,90,N/A,https://www.transfermarkt.co.uk/anders-linderoth/profil/spieler/134945
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/lennart-larsson/profil/spieler/95122
6,-,-,-,-,-,540,177,https://www.transfermarkt.co.uk/christian-lopez/profil/spieler/128987
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/maxime-bossis/profil/spieler/117490
6,2,-,-,-,-,540,N/A,https://www.transfermarkt.co.uk/dominique-bathenay/profil/spieler/141758
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/claude-papi/profil/spieler/141779
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/didier-six/profil/spieler/97184
18,1,-,1,-,-,1093,N/A,https://www.transfermarkt.co.uk/marc-berdoll/profil/spieler/134731
6,-,-,1,-,-,540,178,https://www.transfermarkt.co.uk/dominique-rocheteau/profil/spieler/117496
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/patrice-rio/profil/spieler/141757
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/patrick-battiston/profil/spieler/117486
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/henri-michel/profil/spieler/141771
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/michel-platini/profil/spieler/88994
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/zico/profil/spieler/117619
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/jerzy-gorgon/profil/spieler/142148
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/antoni-szymanowski/profil/spieler/142145
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/bohdan-masztaler/profil/spieler/89839
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/wojciech-rudy/profil/spieler/142152
2,-,-,-,-,-,180,N/A,https://www.transfermarkt.co.uk/grzegorz-lato/profil/spieler/132457
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/andrzej-szarmach/profil/spieler/132458
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/wladyslaw-zmuda/profil/spieler/117228
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/adam-nawalka/profil/spieler/142146
2,-,-,-,-,-,180,180,https://www.transfermarkt.co.uk/henryk-kasperczak/profil/spieler/142149
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/kazimierz-deyna/profil/spieler/142153
22,1,-,-,-,-,1980,180,https://www.transfermarkt.co.uk/jan-poortvliet/profil/spieler/135625
20,2,-,-,-,-,1800,184,https://www.transfermarkt.co.uk/ruud-krol/profil/spieler/135621
8,-,-,-,-,-,720,N/A,https://www.transfermarkt.co.uk/johan-neeskens/profil/spieler/135643
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/martin-buchan/profil/spieler/131334
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/asa-hartford/profil/spieler/135280
2,-,-,-,-,-,180,185,https://www.transfermarkt.co.uk/joe-jordan/profil/spieler/135278
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/kenny-dalglish/profil/spieler/135269
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/eduardo-ramos/profil/spieler/142490
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/guillermo-mendizabal/profil/spieler/142492
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/enrique-lopez/profil/spieler/142495
