name,link,age,value,appearances,goals,assists,yellow_cards,yellow_red_cards,red_cards,minutes,height
Lukasz Piszczek,https://www.transfermarkt.co.uk/lukasz-piszczek/profil/spieler/25727,"Jun 3, 1985 (33)",£3.60m  ,39,5,5,2,-,-,3134,184
Marco Reus,https://www.transfermarkt.co.uk/marco-reus/profil/spieler/35207,"May 31, 1989 (29)",£31.50m  ,24,13,8,1,1,-,1703,180
Raphaël Guerreiro,https://www.transfermarkt.co.uk/raphael-guerreiro/profil/spieler/170986,"Dec 22, 1993 (24)",£16.20m  ,35,7,9,3,-,-,2334,170
Óscar Murillo,https://www.transfermarkt.co.uk/oscar-murillo/nationalmannschaft/spieler/77176,30,£2.25m  ,14,-,-,2,-,-,1060,184
Jefferson Lerma,https://www.transfermarkt.co.uk/jefferson-lerma/nationalmannschaft/spieler/262980,23,£1.80m  ,6,-,-,1,-,-,337,179
Juan Quintero,https://www.transfermarkt.co.uk/juan-quintero/nationalmannschaft/spieler/122582,25,£3.15m  ,16,3,2,-,-,-,545,169
Davinson Sánchez,https://www.transfermarkt.co.uk/davinson-sanchez/nationalmannschaft/spieler/341429,22,£36.00m  ,10,-,-,1,-,-,836,187
Johan Mojica,https://www.transfermarkt.co.uk/johan-mojica/nationalmannschaft/spieler/262939,25,£3.60m  ,5,1,1,-,-,-,295,185
Santiago Arias,https://www.transfermarkt.co.uk/santiago-arias/nationalmannschaft/spieler/120443,26,£13.50m  ,42,-,3,7,1,-,3402,177
José Izquierdo,https://www.transfermarkt.co.uk/jose-izquierdo/nationalmannschaft/spieler/147094,25,£12.60m  ,6,1,1,-,-,-,173,171
Óscar Duarte,https://www.transfermarkt.co.uk/oscar-duarte/nationalmannschaft/spieler/175323,29,£900k  ,40,2,-,6,1,-,3191,186
Francisco Calvo,https://www.transfermarkt.co.uk/francisco-calvo/nationalmannschaft/spieler/188470,25,£675k  ,40,4,-,6,-,-,2865,180
Cristian Gamboa,https://www.transfermarkt.co.uk/cristian-gamboa/nationalmannschaft/spieler/121686,28,£1.13m  ,69,3,3,8,-,-,5502,175
David Guzmán,https://www.transfermarkt.co.uk/david-guzman/nationalmannschaft/spieler/124978,28,£720k  ,48,-,4,11,-,1,2444,176
Johan Venegas,https://www.transfermarkt.co.uk/johan-venegas/nationalmannschaft/spieler/195424,29,£540k  ,49,10,3,8,-,1,2874,183
Giancarlo González,https://www.transfermarkt.co.uk/giancarlo-gonzalez/nationalmannschaft/spieler/111893,30,£1.26m  ,71,2,1,17,-,2,6168,186
Celso Borges,https://www.transfermarkt.co.uk/celso-borges/nationalmannschaft/spieler/81532,30,£3.60m  ,114,18,7,10,-,-,9445,187
Yassine Meriah,https://www.transfermarkt.co.uk/yassine-meriah/nationalmannschaft/spieler/306330,24,£1.08m  ,15,1,-,2,-,-,1238,180
Ferjani Sassi,https://www.transfermarkt.co.uk/ferjani-sassi/nationalmannschaft/spieler/191903,26,£1.44m  ,41,4,-,7,-,-,3006,185
Naïm Sliti,https://www.transfermarkt.co.uk/naim-sliti/nationalmannschaft/spieler/184491,25,£6.30m  ,21,3,3,-,-,-,1474,173
Anice Badri,https://www.transfermarkt.co.uk/anice-badri/nationalmannschaft/spieler/164925,27,£1.08m  ,12,3,-,-,-,-,756,178
Ali Maâloul,https://www.transfermarkt.co.uk/ali-maaloul/nationalmannschaft/spieler/133042,28,£1.35m  ,42,-,8,2,-,-,3492,175
Ellyes Skhiri,https://www.transfermarkt.co.uk/ellyes-skhiri/nationalmannschaft/spieler/290587,23,£9.00m  ,7,-,-,-,-,-,610,185
Fakhreddine Ben Youssef,https://www.transfermarkt.co.uk/fakhreddine-ben-youssef/nationalmannschaft/spieler/218058,27,£900k  ,37,5,3,4,-,-,1960,189
Jérôme Boateng ,https://www.transfermarkt.co.uk/jerome-boateng/nationalmannschaft/spieler/26485,29,£40.50m  ,73,1,5,7,2,-,5757,192
Marvin Plattenhardt,https://www.transfermarkt.co.uk/marvin-plattenhardt/nationalmannschaft/spieler/89592,26,£13.50m  ,7,-,-,1,-,-,476,181
Joshua Kimmich,https://www.transfermarkt.co.uk/joshua-kimmich/nationalmannschaft/spieler/161056,23,£49.50m  ,31,3,12,2,-,-,2796,176
