name,avg_wins,avg_draws,avg_gd,avg_age,avg_gpa,avg_apa,avg_ycpa,total_minutes
Russia,0.0,0.4,-1.2,0.0,0.0,0.0,0.0,0.0
Uruguay,0.6,0.2,1.0,27.0,0.15537347914925234,0.08390220117024241,0.11177092040494102,16932.0
Egypt,0.0,0.4,-1.0,28.0,0.06388510559591068,0.046496670702179166,0.11493450052772085,21868.0
Saudi Arabia,0.4,0.0,-0.2,0.0,0.0,0.0,0.0,0.0
Spain,0.4,0.6,1.2,0.0,0.0,0.0,0.0,0.0
Portugal,0.4,0.4,0.2,27.33333333333333,0.07408289463447798,0.12908838170865666,0.08736608898361105,30089.0
Iran,0.6,0.0,0.2,29.0,0.13392857142857142,0.06524725274725275,0.1291208791208791,4549.0
Morocco,0.8,0.2,1.2,27.16666666666667,0.10138028272174616,0.07891183866793622,0.0696774823604092,11938.0
France,0.6,0.2,1.0,24.25,0.10721570096570096,0.0798076923076923,0.06114926739926741,17209.0
Denmark,0.4,0.4,0.4,25.33333333333333,0.10169220945083013,0.1129891899288451,0.0577175697865353,12722.0
Australia,0.6,0.2,0.8,0.0,0.0,0.0,0.0,0.0
Peru,0.8,0.2,1.8,29.0,0.07566959218059588,0.07374005637431168,0.1312981967771396,31795.0
Croatia,0.4,0.2,-0.4,28.25,0.12267380145257767,0.07979063113334213,0.11884564154024654,28973.0
Nigeria,0.2,0.2,-0.6,24.5,0.12297273982056592,0.04861111111111111,0.0604727398205659,6410.0
Iceland,0.2,0.2,-0.6,0.0,0.0,0.0,0.0,0.0
Argentina,0.6,0.0,0.0,29.5,0.09688962359250963,0.07354884036630198,0.14911626381553578,38975.0
Brazil,0.8,0.2,1.8,28.285714285714285,0.1830328088990891,0.13579337151722126,0.11237598900371293,24036.0
Switzerland,0.6,0.4,1.8,0.0,0.0,0.0,0.0,0.0
Serbia,0.4,0.2,0.8,27.66666666666667,0.04055644176611919,0.05398745519713261,0.1561552247036118,16757.0
Costa Rica,0.4,0.0,-0.4,28.42857142857143,0.08337480634989125,0.037646299973285766,0.16221855996264953,32489.0
Mexico,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0
Germany,0.2,0.4,-0.2,26.5,0.16274071818198693,0.18173833926907926,0.077045040921241,32052.0
Sweden,0.2,0.4,-0.2,28.25,0.08439623673124892,0.11773149397712995,0.09688765074651093,24597.0
South Korea,0.2,0.2,-0.6,0.0,0.0,0.0,0.0,0.0
Belgium,0.8,0.2,2.2,27.42857142857143,0.1136043515972166,0.1652340508935465,0.07097651736209208,32482.0
England,0.6,0.4,0.8,26.857142857142854,0.05612244897959184,0.19265471295088016,0.06657978286898147,12472.0
Panama,0.2,0.2,-1.4,0.0,0.0,0.0,0.0,0.0
Tunisia,0.4,0.4,0.2,25.714285714285715,0.09888856003838582,0.0592020592020592,0.06568459948250889,12536.0
Japan,0.2,0.2,-0.6,0.0,0.0,0.0,0.0,0.0
Senegal,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0
Poland,0.4,0.2,0.6,28.857142857142854,0.1228828526784978,0.1908474058737812,0.06732658734387201,22844.0
Colombia,0.4,0.4,0.8,27.181818,0.172363,0.076749,0.136069,26204.0
